Labels.Skew.StandardDeviation,Labels.Mean.Skew,Labels.Kurtosis.Skew,Labels.Skew.Mean,Labels.Skew.Skew,Features.MutualInformation.Skew,Features.Skew.NonAggregated,Features.Entropy.Skew,Features.Kurtosis.Skew,FeaturesLabels.SpearmanCorrelation.Skew,Features.Skew.StandardDeviation,FeaturesLabels.PearsonCorrelation.Skew,Features.Skew.Skew,Features.PearsonCorrelation.Skew,Features.Skew.Mean,Labels.Skew.NonAggregated,Features.Mean.Skew,Features.SpearmanCorrelation.Skew,Features.MutualInformation.StandardDeviation,Features.Mean.NonAggregated,Features.Kurtosis.NonAggregated,FeaturesLabels.PearsonCorrelation.NonAggregated,FeaturesLabels.SpearmanCorrelation.NonAggregated,FeaturesLabels.MutualInformation.StandardDeviation,FeaturesLabels.MutualInformation.Mean,Features.Entropy.Mean,Features.Entropy.StandardDeviation,Features.MutualInformation.Mean,Features.Entropy.NonAggregated,Features.MutualInformation.NonAggregated,Labels.Entropy.NonAggregated,FeaturesLabels.MutualInformation.NonAggregated,Features.PearsonCorrelation.Mean,Features.PearsonCorrelation.StandardDeviation,Features.PearsonCorrelation.NonAggregated,FeaturesLabels.PearsonCorrelation.Mean,FeaturesLabels.PearsonCorrelation.StandardDeviation,Features.SpearmanCorrelation.Mean,Features.SpearmanCorrelation.StandardDeviation,FeaturesLabels.SpearmanCorrelation.Mean,FeaturesLabels.SpearmanCorrelation.StandardDeviation,Features.SpearmanCorrelation.NonAggregated,Features.Kurtosis.Mean,Features.Kurtosis.StandardDeviation,Labels.Kurtosis.NonAggregated,Features.Mean.Mean,Features.Mean.StandardDeviation,Labels.Mean.NonAggregated,Labels.Mean.StandardDeviation,Labels.Kurtosis.StandardDeviation,Labels.SpearmanCorrelation.NonAggregated,Labels.Mean.Mean,Labels.PearsonCorrelation.NonAggregated,Labels.Kurtosis.Mean,dataset,fam_score,alg_fam,instances,dimensionality,instances_with_missing_val,ratio_of_discrete_features,ratio_of_numeric_features,nonzero_vals_cnt,missing values,non-zero values,attributes total,attributes categorical,attributes numerical
,,,,,,,,,,1.0512561034236105,,,,0.48958376033369305,-0.01780032597474154,,,,,,,,,,,,,,,,,0.2669027539389581,0.46393906579523936,,0.2569705960048283,0.3561997438889143,0.5632179175228527,0.5602791371481739,0.528277156921425,0.3494488090942389,,8.22869027321045,23.948656816980186,-1.5360276267187847,0.11217496166390019,0.3172792685316489,1.0095762508977735,,,,,,,abalone_R.dat,,,4177,0.0021546564519990424,0,0.0,1.0,37593,0,,9,0,9
,,,,,,,,,,0.5521598723512363,,,,0.09679551539784183,0.03333796392769234,,,,,,,,,,,,,,,,,0.18537690985389874,0.3230731514794255,,0.1495922983521611,0.37904633458566034,0.16783459675242923,0.33097149270734405,0.277377722644314,0.5030997341048489,,-1.6207515899099942,0.479499501287599,-1.998888580161155,0.0702376179761905,0.1720476886842479,0.49166666666666664,,,,,,,acute-inflammation_R.dat,,,120,0.058333333333333334,0,0.0,1.0,840,0,,7,0,7
,,,,,,,,,,0.5226252091121968,,,,0.12695378870953739,0.33806170189140633,,,,,,,,,,,,,,,,,0.1887591923482026,0.3150286334777092,,0.236542784852225,0.3382432671676994,0.21906394143012248,0.33948590372449705,0.451157978530302,0.36236047810280636,,-1.6538719268855306,0.4570103908203684,-1.8857142857142863,0.05208274489583338,0.13779976986497489,0.4166666666666667,,,,,,,acute-nephritis.dat,,,120,0.06666666666666667,0,0.0,1.0,960,0,,8,0,8
,,,,,,0.02462687643702322,,,,,,,,,,,,0.04535144262026392,147.0722891566265,-1.2382927124660086,,,0.37695727788271594,0.4695122166817969,5.265909714405793,0.18663820131063483,0.2225523087779168,,,5.523561956057013,,,,,,,,,,,,,,,,,,,,,,,,analcatdata_asbestos.csv,,,83,0.04819277108433735,0,0.0,1.0,332,0,,4,0,4
,,,,,,0.0,,,,,,,,,,,,0.21921272033474007,6.5,-1.2167832167832167,,,0.447800124859101,0.3667309312456804,6.108964129400479,0.5104294835202404,0.20508691537402815,,,5.392317422778762,,,,,,,,,,,,,,,,,,,,,,,,analcatdata_boxing1.csv,,,120,0.03333333333333333,0,0.0,1.0,480,0,,4,0,4
,,,,,,,,,,0.4809736428262523,,,,0.11092481306041732,0.6684875319792157,,,0.1894667898350711,,,,,,,7.384512561647144,0.36794083804436106,0.14753484360075067,,,,,0.33419308994024766,0.4131283273370928,,0.5,0.5,0.19169596027212224,0.17467583355287003,0.2803830428759602,0.4155484310087335,,-1.1117920967570036,0.33816181007409973,-1.0356942041522488,21.000881771534914,31.679186189611702,2.0,,,,,,,analcatdata_broadwaymult.csv,,,285,0.028070175438596492,18,0.0,1.0,2253,27,,8,0,8
,,,,,,,,,,1.6048636121394673,,,,1.6048636121394673,3.2097272242789345,,,4.245980132762378e-16,,,,,,,8.020898793923363,0.21931507622421387,-1.517061414942969e-16,,,,,,,"(0.0436005833500688, 0.38446637030476793)",0.3570167384137092,0.39995987134134403,,,0.5191376216383761,0.480862378361624,0.038275243276752066,4.886385145669973,6.886385145669973,11.772770291339945,1003.29875,988.2012500000001,15.0975,,,,,,,analcatdata_germangss.csv,,,400,0.015,0,0.0,1.0,2400,0,,6,0,6
,,,,,,,,,,1.4466830370681938,,,,0.7299984847447939,3.31244439387493,,,,,,,,,,,,,,,,,0.007180980208114219,0.3191715680498036,,0.01790102029769397,0.3850717221972915,-0.05596365520692357,0.36596633238224124,0.050605332127795055,0.5287039091547778,,1.6546847371834819,3.7835575927272265,8.972287862513431,13.762295454545457,13.301752623714233,0.07196969696969698,,,,,,,analcatdata_lawsuit.csv,,,264,0.01893939393939394,0,0.0,1.0,1320,0,,5,0,5
,,,,,,,,,,8.82132107708335,,,,-1.5885170759730323,0.8259618206354257,,,,,,,,,,,,,,,,,0.18783631966930933,0.31951303612516024,,0.13112521996348722,0.27323974206261653,0.014963000856259531,0.45806741634893966,0.044877123566433245,0.2151263712389076,,81.45237929127222,171.92970330327532,3.38015632952645,7.027102093067928,26.927524887869826,2.035634743875278,,,,,,,annealing.dat,,,898,0.035634743875278395,0,0.0,1.0,28736,0,,32,0,32
,,,,,,,,,,1.7967625375530034,,,,3.310167430578973,,,,,,,,,,,,,,4.321928094887363,,4.321928094887363,1.0,0.2763398054264899,0.39388026491936035,,,,0.40596772492275457,0.4691214513499403,,,,17.4739382805163,13.20836133338948,,594.8054013132773,2763.2940878191007,,,,,,,,ar4.csv,,,107,0.2803738317757009,0,0.0,1.0,3210,0,,30,0,30
